station_code,station_name,station_type,query,altitude,latitude,longitude,county,river_basin,data_source
KIG,KLAMATH RIVER BELOW IRON GATE DAM,real-time,/cgi-progs/queryF?KIG,2162,41.9279174804688,122.444190979004,SISKIYOU,KLAMATH R,http://cdec.water.ca.gov/
KNK,KLAMATH RIVER NEAR KLAMATH,real-time,/cgi-progs/queryF?KNK,60,41.5109558105469,123.979515075684,DEL NORTE,KLAMATH R,http://cdec.water.ca.gov/
KSV,KLAMATH RIVER NEAR SEIAD VALLEY,real-time,/cgi-progs/queryF?KSV,1320,41.8537368774414,123.232276916504,SISKIYOU,KLAMATH R,http://cdec.water.ca.gov/
KFS,KNIGHTS FERRY AT SONORA ROAD BRIDGE,real-time,/cgi-progs/queryF?KFS,200,37.819,120.667,STANISLAUS,STANISLAUS R,http://cdec.water.ca.gov/
KNO,KNOXVILLE CREEK,real-time,/cgi-progs/queryF?KNO,2200,38.8619,122.4172,LAKE,PUTAH CR,http://cdec.water.ca.gov/
KGR,KREGOR PEAK,real-time,/cgi-progs/queryF?KGR,1894,37.943,121.89,CONTRA COSTA,EAST BAY,http://cdec.water.ca.gov/
LA1,LA COUNTY PORTABLE RAWS,real-time,/cgi-progs/queryF?LA1,960,34.258,118.406,LOS ANGELES,LOS ANGELES R,http://cdec.water.ca.gov/
LGR,LA GRANGE RELEASE,real-time,/cgi-progs/queryF?LGR,52,37.667,120.462,STANISLAUS,TUOLUMNE R,http://cdec.water.ca.gov/
LAH,LA HONDA,real-time,/cgi-progs/queryF?LAH,425,37.3053,122.2539,SAN MATEO,SAN GREGORIO CR,http://cdec.water.ca.gov/
LMS,LA MESA,real-time,/cgi-progs/queryF?LMS,530,32.766,117.024,SAN DIEGO,SAN DIEGO R,http://cdec.water.ca.gov/
LPZ,LA PANZA,real-time,/cgi-progs/queryF?LPZ,1650,35.3806,120.1881,SAN LUIS OBISPO,SALINAS R,http://cdec.water.ca.gov/
LAP,LA PORTE (DWR),real-time,/cgi-progs/queryF?LAP,4980,39.681,120.983,PLUMAS,FEATHER R,http://cdec.water.ca.gov/
LDB,LADDER BUTTE,real-time,/cgi-progs/queryF?LDB,5700,40.817,121.317,LASSEN,PIT R,http://cdec.water.ca.gov/
DAV,LAKE DAVIS (DWR),real-time,/cgi-progs/queryF?DAV,5768,39.883,120.467,PLUMAS,FEATHER R,http://cdec.water.ca.gov/
ENR,LAKE ELEANOR,real-time,/cgi-progs/queryF?ENR,4660,37.974,119.88,TUOLUMNE,TUOLUMNE R,http://cdec.water.ca.gov/
EDT,LAKE ELEANOR DIV TUNNEL,real-time,/cgi-progs/queryF?EDT,4620,37.98,119.881,TUOLUMNE,TUOLUMNE R,http://cdec.water.ca.gov/
LKW,LAKE KAWEAH WEATHER,real-time,/cgi-progs/queryF?LKW,570,36.4153,118.6975,TULARE,KAWEAH R,http://cdec.water.ca.gov/
LOS,LAKE LOIS,real-time,/cgi-progs/queryF?LOS,8600,38.925,120.197,EL DORADO,AMERICAN R,http://cdec.water.ca.gov/
MCS,LAKE MC SWAIN,real-time,/cgi-progs/queryF?MCS,425,37.52,120.309,MARIPOSA,MERCED R,http://cdec.water.ca.gov/
CDW,LAKE MENDOCINO WEATHER,real-time,/cgi-progs/queryF?CDW,670,39.2031,123.1853,MENDOCINO,RUSSIAN R,http://cdec.water.ca.gov/
NAT,LAKE NATOMA  (NIMBUS DAM),real-time,/cgi-progs/queryF?NAT,132,38.65,121.183,SACRAMENTO,AMERICAN R,http://cdec.water.ca.gov/
LPA,LAKE PALMDALE,real-time,/cgi-progs/queryF?LPA,2980,34.5372,118.1014,LOS ANGELES,MOJAVE DESERT,http://cdec.water.ca.gov/
SLW,LAKE SILVERWOOD,real-time,/cgi-progs/queryF?SLW,3331,34.304,117.318,SAN BERNARDINO,MOJAVE R,http://cdec.water.ca.gov/
LSW,LAKE SONOMA WEATHER,real-time,/cgi-progs/queryF?LSW,224,38.7161,122.9967,SONOMA,RUSSIAN R,http://cdec.water.ca.gov/
LSP,LAKE SPAULDING (PG&E),real-time,/cgi-progs/queryF?LSP,5156,39.317,120.633,NEVADA,YUBA R,http://cdec.water.ca.gov/
THC,LAKE TAHOE AT TAHOE CITY,real-time,/cgi-progs/queryF?THC,6230,39.182,120.119,PLACER,TRUCKEE R,http://cdec.water.ca.gov/
LKS,LAKESHORE,real-time,/cgi-progs/queryF?LKS,1100,40.867,122.383,SHASTA,SACRAMENTO R,http://cdec.water.ca.gov/
LPC,LAPACHET RANCH,real-time,/cgi-progs/queryF?LPC,260,38.032,120.976,SAN JOAQUIN,CALAVERAS R,http://cdec.water.ca.gov/
LCM,LAS CUMBRES,real-time,/cgi-progs/queryF?LCM,2760,37.208,122.063,SANTA CRUZ,SAN LORENZO R,http://cdec.water.ca.gov/
LSF,LAS FLORES-CAMP PENDELTON,real-time,/cgi-progs/queryF?LSF,100,33.289,117.439,SAN DIEGO,SANTA MARGARITA R,http://cdec.water.ca.gov/
LTB,LAS TABLAS,real-time,/cgi-progs/queryF?LTB,900,35.656387,120.924164,SAN LUIS OBISPO,SALINAS R,http://cdec.water.ca.gov/
LTR,LAS TRAMPAS,real-time,/cgi-progs/queryF?LTR,1760,37.834,122.067,CONTRA COSTA,EAST BAY,http://cdec.water.ca.gov/
LAS,LASSEN LODGE,real-time,/cgi-progs/queryF?LAS,4120,40.35,121.7,TEHAMA,SACRAMENTO R,http://cdec.water.ca.gov/
LRM,LAURAL MOUNTAIN,real-time,/cgi-progs/queryF?LRM,4390,35.4783,117.6992,KERN,CHINA LAKE,http://cdec.water.ca.gov/
LAY,LAYTONVILLE,real-time,/cgi-progs/queryF?LAY,1838,39.702,123.485,MENDOCINO,EEL R,http://cdec.water.ca.gov/
LVT,LEAVITT LAKE,real-time,/cgi-progs/queryF?LVT,9600,38.282,119.621,MONO,WALKER R,http://cdec.water.ca.gov/
LVM,LEAVITT MEADOWS,real-time,/cgi-progs/queryF?LVM,7200,38.305,119.552,MONO,WALKER R,http://cdec.water.ca.gov/
LMN,LEMONCOVE DITCH,real-time,/cgi-progs/queryF?LMN,546,36.4153,119.0061,TULARE,KAWEAH R,http://cdec.water.ca.gov/
LCL,LEO CARRILLO STATE PARK,real-time,/cgi-progs/queryF?LCL,50,34.046,118.936,LOS ANGELES,VENTURA LA COASTAL,http://cdec.water.ca.gov/
LEW,LEWISTON,real-time,/cgi-progs/queryF?LEW,1870,40.727,122.793,TRINITY,TRINITY R,http://cdec.water.ca.gov/
LWS,LEWISTON (WATER QUALITY),real-time,/cgi-progs/queryF?LWS,1830,40.719310760498,122.803634643555,TRINITY,TRINITY R,http://cdec.water.ca.gov/
LFH,LEWISTON FISH HATCHERY,real-time,/cgi-progs/queryF?LFH,1870,40.727,122.793,TRINITY,TRINITY R,http://cdec.water.ca.gov/
LIR,LIBERTY ISLAND - RD2068,real-time,/cgi-progs/queryF?LIR,0,38.329,121.693,SOLANO,SACRAMENTO R,http://cdec.water.ca.gov/
LIY,LIBERTY ISLAND - YOLO BYPASS,real-time,/cgi-progs/queryF?LIY,0,38.329,121.693,SOLANO,SACRAMENTO R,http://cdec.water.ca.gov/
LIB,LIBERTY ISLAND @ APPROX CNTR S END,real-time,/cgi-progs/queryF?LIB,0,38.2421,121.6849,SOLANO,SACRAMENTO R,http://cdec.water.ca.gov/
LIC,LICHAU CREEK,real-time,/cgi-progs/queryF?LIC,600,38.317,122.633,SONOMA,PETALUMA R,http://cdec.water.ca.gov/
LKC,LIME KILN CANYON,real-time,/cgi-progs/queryF?LKC,4790,35.09,118.448,KERN,CALIENTE CR,http://cdec.water.ca.gov/
LCN,LINCOLN,real-time,/cgi-progs/queryF?LCN,200,38.882,121.272,PLACER,AMERICAN R,http://cdec.water.ca.gov/
LCO,LINDA CREEK AT CHAMPION OAKS,real-time,/cgi-progs/queryF?LCO,140,38.727,121.247,PLACER,AMERICAN R,http://cdec.water.ca.gov/
LOR,LINDA CREEK AT OAK RIDGE ROAD,real-time,/cgi-progs/queryF?LOR,150,38.731,121.266,PLACER,AMERICAN R,http://cdec.water.ca.gov/
LCH,LINDO CHANNEL NR CHICO,real-time,/cgi-progs/queryF?LCH,183,39.7491607666016,121.868896484375,BUTTE,SACRAMENTO R,http://cdec.water.ca.gov/
